nework,station,lat,lon,elevation
IV,BOSL,43.93096,11.374336,378.0
IV,BOZZ,45.1071,10.482,30.0
IV,CAIS,43.050003,9.842659,33.0
IV,CASP,42.7908,10.8652,390.0
IV,CAVE,44.8658,11.0031,18.0
IV,CRMI,43.795597222222,10.979505555556,490.0
IV,CTL8,45.2763,9.7622,60.0
IV,FIR,43.774366,11.255134,40.0
IV,FNVD,44.16782,11.1229,950.0
IV,LMD,44.07746,11.707267,450.0
IV,LOCA,43.30644,11.26226,511.0
IV,MILN,45.4803,9.2321,125.0
IV,MSSA,44.31625,9.51739,930.0
IV,MTRZ,44.3128,11.4248,570.0
IV,NDIM,44.8873,10.8987,19.0
IV,OPPE,45.3082,11.1724,20.0
IV,ORZI,45.4056,9.9307,83.0
IV,OSSC,43.52358,11.24579,452.0
IV,PII,43.72193,10.52495,66.0
IV,PLMA,44.04981775414,9.85365177896,22.0
IV,PRMA,44.76374,10.31311,78.0
IV,QLNO,44.32425,8.34592,547.0
IV,SARZ,44.867306,8.913604,266.0
IV,VISG,44.188961,11.43431,727.0
IV,VMAN,45.3135,10.6628,64.0
IV,VMGN,43.9545,11.5327,550.0
IV,ZCCA,44.35085,10.9765,700.0
GU,CARD,44.0261,10.4821,380.0
GU,EQUI,44.166,10.153,350.0
GU,GORR,44.6071,9.2926,572.0
GU,GRAM,44.4904,10.065,844.0
GU,GSCL,44.3506,10.588,650.0
GU,MAIM,43.9131,10.4916,225.0
GU,PCP,44.5413,8.5455,772.0
GU,POPM,44.045,10.7568,438.0
GU,RNCA,44.4711,8.9512,193.0
GU,ROTM,44.8493,8.3523,186.0
FR,MORSI,42.953,9.363,100.0
UP,UP01,44.041363,10.403608,703.5
UP,UP02,44.122059,10.319298,836.8
UP,UP03,44.189388,10.480657,1515.5
UP,UP04,44.246159,10.263115,1601.6
UP,UP05,44.155247,10.243318,735.9
UP,UP07,43.996231,10.304751,599.6
UP,UP08,44.115036,10.454612,369.7
